         532113 function calls (529176 primitive calls) in 1.863 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\urllib\request.py:2495(getproxies_environment)
  157/155    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\util\response.py:40(assert_header_parsing)
       43    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\_collections.py:306(add)
        9    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:950(set_ok)
       48    0.000    0.000    0.154    0.003 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:1227(stream)
       64    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py:289(_sanitize_header)
        9    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:1487(_cookie_from_cookie_tuple)
        1    0.000    0.000    1.862    1.862 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\ex04\financial.py:10(get_financial_data)
        5    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       53    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:79(readline)
        2    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\_collections.py:341(extend)
       59    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:171(set_cdata_mode)
        1    0.000    0.000    0.006    0.006 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\util\ssl_.py:225(create_urllib3_context)
        6    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:1600(make_cookies)
        5    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
       80    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\enum.py:1156(__new__)
    42/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      7/4    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:511(_parse)
      141    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      210    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\enum.py:1589(_get_value)
       57    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       68    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:224(__init__)
       74    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\structures.py:46(__setitem__)
       70    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py:119(_coerce_args)
       48    0.000    0.000    0.154    0.003 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\models.py:816(generate)
        8    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
       53    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:129(__next__)
        6    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:102(push)
        2    0.000    0.000    1.145    0.572 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\client.py:324(begin)
      109    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       59    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\re\__init__.py:330(_compile)
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:722(__init__)
       73    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       34    0.000    0.000    0.018    0.001 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:1266(_find_all)
       21    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py:951(quote_from_bytes)
        6    0.000    0.000    0.003    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:1681(extract_cookies)
        1    0.000    0.000    0.288    0.288 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\connection.py:724(connect)
       25    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:621(request_host)
       34    0.000    0.000    0.018    0.001 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:3024(find_all)
       80    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\enum.py:695(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method today}
      170    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:492(_make_match_rules)
      3/2    0.000    0.000    1.215    0.607 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\sessions.py:159(resolve_redirects)
       66    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\utils.py:47(_has_surrogates)
       73    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\structures.py:51(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:54(__init__)
        2    0.000    0.000    0.003    0.001 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\parser.py:41(parse)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x000001CE5692D080}
       34    0.000    0.000    0.018    0.001 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:163(find_all)
        8    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:178(_call_parse)
        2    0.000    0.000    1.435    0.717 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\connectionpool.py:592(urlopen)
        4    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py:469(urlsplit)
        1    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1361(_real_close)
       64    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py:319(header_fetch_parse)
       76    0.000    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\_htmlparser.py:127(handle_startendtag)
        9    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:1016(set_ok_domain)
      305    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
        1    0.000    0.000    0.236    0.236 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\connection.py:901(_ssl_wrap_socket_and_match_hostname)
